filename,Description,Sample_ID_for_Data_Sharing_and_Public_Release,Tissue,Hippocampus Group
GTEX-13FHP-0011-R5b-SM-AFUMJ.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13FHP-0011-R5b-SM-AFUMJ,Brain - Caudate (basal ganglia),
GTEX-13FHP-0011-R5b-SM-AFUMJ.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13FHP-0011-R5b-SM-AFUMJ,Brain - Caudate (basal ganglia),
GTEX-13FHP-0011-R5b-SM-AFUMJ.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13FHP-0011-R5b-SM-AFUMJ,Brain - Caudate (basal ganglia),
GTEX-13FHP-0011-R5b-SM-AFUMJ.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13FHP-0011-R5b-SM-AFUMJ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13FXS-0011-R5b-SM-AFUJQ.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13FXS-0011-R5b-SM-AFUJQ,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13G51-0011-R5a-SM-AFUJW.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13G51-0011-R5a-SM-AFUJW,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NYS-0011-R5a-SM-AFUKF.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R5a-SM-AFUKF,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13NZA-0011-R5b-SM-AFUKN.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13NZA-0011-R5b-SM-AFUKN,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3O-0011-R5b-SM-AFUMR.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R5b-SM-AFUMR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13O3Q-0011-R5b-SM-AFUKR.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R5b-SM-AFUKR,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OVH-0011-R5b-SM-AFUMY.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R5b-SM-AFUMY,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-13OW7-0011-R5b-SM-AFUNC.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R5b-SM-AFUNC,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-P44H-0011-R5a-SM-AFUNI.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R5a-SM-AFUNI,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-RU72-0011-R5a-SM-AFUO9.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-RU72-0011-R5a-SM-AFUO9,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-T2IS-0011-R5a-SM-AFUOT.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-T2IS-0011-R5a-SM-AFUOT,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-WZTO-0011-R5b-SM-AFUOL.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R5b-SM-AFUOL,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-X4XX-0011-R5a-SM-AFUOF.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R5a-SM-AFUOF,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZE7O-0011-R5a-SM-AFUL6.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-ZE7O-0011-R5a-SM-AFUL6,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-ZVT3-0011-R5a-SM-AFUP7.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-ZVT3-0011-R5a-SM-AFUP7,Brain - Caudate (basal ganglia),
GTEX-11WQC-0011-R10a-SM-AFUIX.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-11WQC-0011-R10a-SM-AFUIX,Brain - Frontal Cortex (BA9),
GTEX-11WQC-0011-R10a-SM-AFUIX.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-11WQC-0011-R10a-SM-AFUIX,Brain - Frontal Cortex (BA9),
GTEX-11WQC-0011-R10a-SM-AFUIX.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-11WQC-0011-R10a-SM-AFUIX,Brain - Frontal Cortex (BA9),
GTEX-11WQC-0011-R10a-SM-AFUIX.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-11WQC-0011-R10a-SM-AFUIX,Brain - Frontal Cortex (BA9),
GTEX-11WQC-0011-R10a-SM-AFUIX.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-11WQC-0011-R10a-SM-AFUIX,Brain - Frontal Cortex (BA9),
